1709856000000,66935.67000000,67212.34000000,66817.01000000,67171.07000000,38.98012000,1709859599999,2610698.25890190,2823,16.28842000,1091075.85795630,0
1709859600000,67177.99000000,67386.73000000,66935.56000000,67043.58000000,40.89703000,1709863199999,2747268.78369180,3259,20.03079000,1346080.14359840,0
1709863200000,67043.59000000,67191.39000000,66933.71000000,67186.04000000,28.94323000,1709866799999,1941042.67868830,2355,17.94644000,1203870.99992640,0
1709866800000,67185.49000000,67347.10000000,67050.26000000,67216.02000000,45.56029000,1709870399999,3062082.39143400,2966,26.75656000,1798546.60102960,0
1709870400000,67216.02000000,67320.00000000,67056.86000000,67142.68000000,49.49654000,1709873999999,3325885.62461770,2481,20.83752000,1399944.46683630,0
1709874000000,67142.68000000,67166.40000000,66858.00000000,66984.02000000,17.52784000,1709877599999,1174123.30060640,1377,5.12624000,343407.99649020,0
1709877600000,66984.01000000,67695.85000000,66920.41000000,67656.00000000,47.35187000,1709881199999,3187191.53823230,3282,26.19457000,1763547.28535250,0
1709881200000,67654.00000000,67797.36000000,67316.72000000,67348.01000000,54.06963000,1709884799999,3650908.32662160,4035,25.40191000,1715647.01593110,0
1709884800000,67348.01000000,67515.80000000,67160.00000000,67341.99000000,49.75514000,1709888399999,3349847.90902070,3604,21.23197000,1429918.36363560,0
1709888400000,67342.00000000,67502.64000000,67169.64000000,67198.81000000,21.58493000,1709891999999,1452558.09559100,1976,10.75062000,723572.45881250,0
1709892000000,67209.98000000,67487.13000000,67175.44000000,67416.58000000,19.35664000,1709895599999,1304284.68786840,1749,7.21673000,486075.77035550,0
1709895600000,67416.59000000,67836.38000000,67343.98000000,67814.24000000,37.57992000,1709899199999,2539152.02329140,2743,21.36168000,1443618.77510110,0
1709899200000,67807.99000000,67839.04000000,67445.58000000,67536.26000000,20.29046000,1709902799999,1371280.85946830,1649,8.77201000,592720.10477120,0
1709902800000,67536.26000000,67982.40000000,67378.00000000,67879.99000000,45.77611000,1709906399999,3098977.07312760,4109,20.77374000,1406326.44356840,0
1709906400000,67879.99000000,68736.84000000,67667.98000000,68556.11000000,144.47414000,1709909999999,9855873.44486230,10098,85.06664000,5802904.35232290,0
1709910000000,68544.01000000,70315.20000000,67100.00000000,67713.20000000,412.18369000,1709913599999,28347251.33934350,33566,221.37201000,15237847.78093050,0
1709913600000,67714.76000000,68051.99000000,66025.81000000,67930.01000000,485.50425000,1709917199999,32536744.99437650,33540,236.74783000,15864364.12997300,0
1709917200000,67929.21000000,68924.00000000,67776.87000000,68448.00000000,170.77840000,1709920799999,11664315.48537270,11861,84.02238000,5742543.46752800,0
1709920800000,68443.99000000,68915.89000000,68190.85000000,68693.98000000,123.12169000,1709924399999,8440758.34402580,9343,62.01698000,4251699.58845440,0
1709924400000,68693.99000000,69010.00000000,68150.00000000,69010.00000000,138.65753000,1709927999999,9514034.08692890,8597,62.88965000,4316564.72778410,0
1709928000000,69012.00000000,69547.96000000,68956.00000000,69279.75000000,270.67214000,1709931599999,18748664.91374210,14655,124.76789000,8642401.28893920,0
1709931600000,69292.00000000,69398.33000000,68026.00000000,68414.51000000,193.88791000,1709935199999,13354312.83980790,11714,88.88781000,6123766.79749930,0
1709935200000,68427.00000000,68632.34000000,68214.56000000,68294.48000000,63.36165000,1709938799999,4336151.30902790,2796,34.94402000,2391493.95970210,0
1709938800000,68293.98000000,68542.04000000,68187.44000000,68276.39000000,49.47925000,1709942399999,3382570.74827290,2744,31.19654000,2132961.90016240,0
