1709164800000,3386.97000000,3469.02000000,3377.08000000,3451.94000000,884.84660000,1709168399999,3028256.26679900,2536,445.08930000,1524643.16992300,0
1709168400000,3450.82000000,3453.20000000,3411.00000000,3419.88000000,359.72540000,1709171999999,1233197.14787800,1521,180.20790000,617839.50436400,0
1709172000000,3418.60000000,3430.32000000,3392.41000000,3404.59000000,630.75200000,1709175599999,2146070.59052200,1578,271.47110000,923620.28583500,0
1709175600000,3404.59000000,3418.82000000,3393.40000000,3409.01000000,266.94550000,1709179199999,909288.21796800,922,130.09150000,443332.86104800,0
1709179200000,3409.06000000,3455.79000000,3399.05000000,3446.42000000,392.29600000,1709182799999,1345245.18759800,1367,234.87100000,805110.86887900,0
1709182800000,3445.83000000,3475.00000000,3430.80000000,3468.74000000,343.06500000,1709186399999,1184047.74980800,1129,183.00930000,631666.08297700,0
1709186400000,3470.20000000,3495.00000000,3465.73000000,3480.97000000,410.82950000,1709189999999,1429412.96531400,1354,197.61960000,687727.41082300,0
1709190000000,3479.34000000,3479.34000000,3449.48000000,3468.41000000,326.09820000,1709193599999,1130307.95482900,1401,122.81810000,425794.65224600,0
1709193600000,3469.60000000,3502.00000000,3457.15000000,3478.90000000,480.91550000,1709197199999,1673448.54985200,2124,235.52140000,820259.93651700,0
1709197200000,3478.33000000,3491.60000000,3443.40000000,3465.60000000,335.92690000,1709200799999,1164294.48986200,1334,173.13400000,600175.08126900,0
1709200800000,3462.65000000,3479.64000000,3444.79000000,3474.93000000,306.00480000,1709204399999,1061058.42512300,1298,206.16320000,715103.38895900,0
1709204400000,3472.18000000,3522.24000000,3465.49000000,3515.32000000,683.35780000,1709207999999,2394329.58748300,1861,340.23280000,1192524.38099200,0
1709208000000,3513.67000000,3518.52000000,3446.75000000,3465.25000000,688.08160000,1709211599999,2389783.24808500,1978,416.84650000,1448005.36200800,0
1709211600000,3466.41000000,3492.60000000,3446.45000000,3479.76000000,455.50810000,1709215199999,1580481.10518900,1464,220.58400000,765046.59612700,0
1709215200000,3481.61000000,3499.70000000,3453.12000000,3470.80000000,576.50170000,1709218799999,2002362.09741200,1798,335.74920000,1165480.20468600,0
1709218800000,3471.55000000,3487.78000000,3458.05000000,3470.49000000,401.24380000,1709222399999,1393133.86676200,1425,247.65380000,859486.29419800,0
1709222400000,3469.82000000,3472.60000000,3397.34000000,3441.73000000,866.27910000,1709225999999,2971621.75710900,2511,367.22650000,1260423.21963200,0
1709226000000,3440.85000000,3452.91000000,3352.04000000,3384.01000000,1398.42950000,1709229599999,4738319.09173200,3447,647.39280000,2193290.48254500,0
1709229600000,3384.80000000,3410.78000000,3351.08000000,3369.61000000,720.11190000,1709233199999,2434601.85074000,2258,362.64170000,1226324.50122200,0
1709233200000,3369.87000000,3405.80000000,3358.08000000,3403.70000000,569.49360000,1709236799999,1928593.88286700,1671,297.56730000,1007901.10989900,0
1709236800000,3403.94000000,3416.81000000,3397.55000000,3397.55000000,512.26140000,1709240399999,1745545.21896900,1803,230.96790000,787050.93138600,0
1709240400000,3394.39000000,3400.63000000,3313.99000000,3351.42000000,733.97080000,1709243999999,2458789.45680600,2538,374.56380000,1255577.87590000,0
1709244000000,3350.70000000,3360.59000000,3302.44000000,3322.61000000,469.88040000,1709247599999,1563450.07552700,1606,218.44840000,727100.69936800,0
1709247600000,3322.60000000,3359.72000000,3322.09000000,3342.01000000,256.62450000,1709251199999,858492.27183400,786,136.27160000,455836.55168700,0
